Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.349309, 1, 1, 0, 0, 1, 0
0.714702, 1, 1, 0, 0, 1, 0
1.07617, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.45777, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.83956, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.23356, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.61956, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.01753, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.40732, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.74827, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.13004, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.50353, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.86897, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.26296, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.6446, 0.943702, 0.935924, 0.540849, 0.540849, 0.934362, 0
6.04248, 0.926752, 0.927344, 1.25696, 1.25696, 0.926224, 0
6.39981, 0.91601, 0.910326, 1.79787, 1.79787, 0.908828, 0
6.7896, 0.908675, 0.90556, 2.63836, 2.63836, 0.903945, 0
7.16719, 0.902769, 0.897956, 3.00372, 3.00372, 0.897956, 0
7.5489, 0.902769, 0.897956, 3.00372, 3.00372, 0.897956, 0
7.92637, 0.902769, 0.897956, 3.00372, 3.00372, 0.897956, 0
8.31617, 0.902769, 0.897956, 3.00372, 3.00372, 0.897956, 0
8.70999, 0.902769, 0.897956, 3.00372, 3.00372, 0.897956, 0
9.05915, 0.902769, 0.897956, 3.00372, 3.00372, 0.897956, 0
9.41656, 0.902769, 0.897956, 3.00372, 3.00372, 0.897956, 0
9.80244, 0.902769, 0.897956, 3.00372, 3.00372, 0.897956, 0
10.1923, 0.902769, 0.897956, 3.00372, 3.00372, 0.897956, 0
10.5781, 0.902769, 0.897956, 3.00372, 3.00372, 0.897956, 0
10.9597, 0.902769, 0.897956, 3.00372, 3.00372, 0.897956, 0
11.3332, 0.902769, 0.897956, 3.00372, 3.00372, 0.897956, 0
11.6865, 0.899669, 0.896432, 3.48621, 3.48621, 0.895729, 0
12.0644, 0.896971, 0.89332, 4.19394, 4.19394, 0.892057, 0
12.4625, 0.893067, 0.889258, 4.91795, 4.91795, 0.888177, 0
12.8606, 0.887781, 0.883659, 5.63447, 5.63447, 0.882526, 0
13.2587, 0.880652, 0.874427, 6.29266, 6.29266, 0.874427, 0
13.5957, 0.8744, 0.868034, 6.95765, 6.95765, 0.868034, 0
13.9815, 0.867569, 0.862604, 7.61557, 7.61557, 0.861029, 0
14.3592, 0.859629, 0.855521, 8.27341, 8.27341, 0.852812, 0
14.7207, 0.851994, 0.847591, 8.93881, 8.93881, 0.846419, 0
15.1064, 0.842804, 0.836458, 9.59646, 9.59646, 0.836458, 0
15.4881, 0.821169, 0.823802, 10.3127, 10.3127, 0.817487, 0
15.8412, 0.812983, 0.804831, 10.437, 10.437, 0.804831, 0
